DetNo	Dir	Lanes	Type	Lat	Long	IntxnName	TPSCtrlNo	IntxnID	Dist2Intxn	Dist2Stop
1	B1	1-2     	advc	34.094370	-118.325460	Fountain Av & Vine St	1	3-190	110.9	93.6
2	B2	11-12   	advc	34.094360	-118.327830	Fountain Av & Vine St	1	3-190	107.2	90.5
3	B3	13      	rels	34.094390	-118.326870	Fountain Av & Vine St	1	3-190	19.1	2.6
4	B4	3       	rels	34.094340	-118.326450	Fountain Av & Vine St	1	3-190	19.9	2.3
5	B1	1       	advc	34.094390	-118.327710	Cahuenga Av & Fountain Av	2	3-189	108.9	95.3
6	B2	7       	advc	34.094330	-118.329710	Cahuenga Av & Fountain Av	2	3-189	75.3	59.6
7	B3	8       	rels	34.094360	-118.329080	Cahuenga Av & Fountain Av	2	3-189	17.3	1.4
8	B4	2       	rels	34.094350	-118.328720	Cahuenga Av & Fountain Av	2	3-189	15.9	1.1
9	B1	1       	advc	34.094360	-118.329080	Cole Av & Fountain Av	3	3-188	77.1	60.7
10	B2	6       	advc	34.094320	-118.330830	Cole Av & Fountain Av	3	3-188	84.0	70.2
11	B3	7       	rels	34.094370	-118.330080	Cole Av & Fountain Av	3	3-188	15.2	1.8
12	B4	2       	rels	34.094330	-118.329710	Cole Av & Fountain Av	3	3-188	19.2	2.6
13	B1	1       	advc	34.094370	-118.330080	Fountain Av & Wilcox Av	4	3-187	88.4	73.3
14	B2	7-8     	advc	34.094330	-118.332190	Fountain Av & Wilcox Av	4	3-187	105.8	91.8
15	B3	9       	rels	34.094370	-118.331230	Fountain Av & Wilcox Av	4	3-187	17.9	4.3
16	B4	2       	rels	34.094320	-118.330830	Fountain Av & Wilcox Av	4	3-187	19.4	4.2
17	B1	1-2     	advc	34.094410	-118.337430	Fountain Av & Highland Av	5	3-186	111.0	94.9
18	B2	15-16-17	advc	34.095430	-118.338700	Fountain Av & Highland Av	5	3-186	115.9	104.6
19	B3	19-20-21	rels	34.094600	-118.338560	Fountain Av & Highland Av	5	3-186	24.5	12.7
20	B4	3       	rels	34.094360	-118.338350	Fountain Av & Highland Av	5	3-186	26.5	10.3
21	B1	3-4-5   	advc	34.095120	-118.338560	De Longpre Av & Highland Av	6	3-183	119.9	104.4
22	B2	12-13-14	advc	34.097210	-118.338720	De Longpre Av & Highland Av	6	3-183	112.8	102.3
23	B3	16-17-18	rels	34.096360	-118.338570	De Longpre Av & Highland Av	6	3-183	20.1	7.4
24	B4	7-8-9   	rels	34.095920	-118.338720	De Longpre Av & Highland Av	6	3-183	31.1	15.8
25	B1	9-10-11 	advc	34.096780	-118.338590	Highland Av & Sunset Bl	7	3-169	132.1	116.0
26	B2	24-25-26	advc	34.099070	-118.338770	Highland Av & Sunset Bl	7	3-169	122.9	102.3
27	B3	28-29-30	rels	34.098230	-118.338600	Highland Av & Sunset Bl	7	3-169	30.3	7.5
28	B4	13-14-15	rels	34.097730	-118.338750	Highland Av & Sunset Bl	7	3-169	27.0	10.6
29	B1	3-4-5   	advc	34.098650	-118.338600	Highland Av & Selma Av	8	3-152	118.4	104.1
30	B2	13-14-15	advc	34.100130	-118.338780	Highland Av & Selma Av	8	3-152	46.9	33.7
31	B3	17-18-19	rels	34.099920	-118.338610	Highland Av & Selma Av	8	3-152	24.6	10.7
32	B4	7-8-9   	rels	34.099490	-118.338780	Highland Av & Selma Av	8	3-152	25.7	9.1
33	B1	3-4-5   	advc	34.099920	-118.338610	Hawthorn Av & Highland Av	9	3-089	60.2	40.1
34	B2	12-13-14	advc	34.101260	-118.338780	Hawthorn Av & Highland Av	9	3-089	89.6	65.3
35	B3	15-16-17	rels	34.100760	-118.338610	Hawthorn Av & Highland Av	9	3-089	35.0	10.3
36	B4	7-8-9   	rels	34.100130	-118.338780	Hawthorn Av & Highland Av	9	3-089	36.8	16.7
53	B1	3       	advc	34.104190	-118.333320	Franklin Av & Whitley Av	14	3-095	113.7	102.2
54	B2	5       	advc	34.105180	-118.334610	Franklin Av & Whitley Av	14	3-095	114.2	101.7
55	B3	6       	rels	34.105230	-118.333620	Franklin Av & Whitley Av	14	3-095	23.2	10.6
56	B4	4       	rels	34.105020	-118.333400	Franklin Av & Whitley Av	14	3-095	21.6	10.1
57	B1	1-2-3   	advc	34.101650	-118.332110	Hollywood Bl & Whitley Av	15	3-139	114.7	100.0
58	B2	11      	advc	34.102650	-118.333380	Hollywood Bl & Whitley Av	15	3-139	116.7	100.4
59	B3	12      	rels	34.101820	-118.333320	Hollywood Bl & Whitley Av	15	3-139	24.7	8.9
60	B4	4-5     	rels	34.101530	-118.333100	Hollywood Bl & Whitley Av	15	3-139	24.7	8.9
61	B1	1-2-3   	advc	34.101660	-118.329840	Hollywood Bl & Wilcox Av	16	3-140	112.5	100.2
62	B2	11-12-13	advc	34.101540	-118.332320	Hollywood Bl & Wilcox Av	16	3-140	116.1	102.9
63	B3	15-16   	rels	34.101660	-118.331310	Hollywood Bl & Wilcox Av	16	3-140	24.1	11.0
64	B4	5-6     	rels	34.101540	-118.330790	Hollywood Bl & Wilcox Av	16	3-140	25.6	11.6
65	B1	1-2-3   	advc	34.101680	-118.328460	Hollywood Bl & Cahuenga Bl	17	3-141	101.5	86.9
66	B2	11-12-13	advc	34.101540	-118.330790	Hollywood Bl & Cahuenga Bl	17	3-141	113.4	98.2
67	B3	15-16   	rels	34.101660	-118.329840	Hollywood Bl & Cahuenga Bl	17	3-141	26.4	10.5
68	B4	5-6     	rels	34.101550	-118.329270	Hollywood Bl & Cahuenga Bl	17	3-141	27.5	11.7
69	B1	1-2-3   	advc	34.101690	-118.327020	Hollywood Bl & Ivar Av	18	3-142	107.6	94.0
70	B2	8-9-10  	advc	34.101550	-118.329270	Hollywood Bl & Ivar Av	18	3-142	100.0	86.0
71	B3	12-13   	rels	34.101680	-118.328460	Hollywood Bl & Ivar Av	18	3-142	26.1	11.3
72	B4	4-5     	rels	34.101560	-118.327910	Hollywood Bl & Ivar Av	18	3-142	26.3	11.4
73	B1	1-2-3   	advc	34.101690	-118.325510	Hollywood Bl & Vine St	19	3-143	110.0	92.8
74	B2	14-15-16	advc	34.101560	-118.327910	Hollywood Bl & Vine St	19	3-143	111.3	95.2
75	B3	18-19   	rels	34.101690	-118.327020	Hollywood Bl & Vine St	19	3-143	29.9	11.4
76	B4	5-6     	rels	34.101580	-118.326400	Hollywood Bl & Vine St	19	3-143	28.4	10.8
77	B1	17-18-19	advc	34.102710	-118.325270	Argyle Av & Hollywood Bl	20	3-144	118.9	100.5
78	B2	11-12-13	advc	34.101580	-118.326400	Argyle Av & Hollywood Bl	20	3-144	108.2	91.3
79	B3	15-16   	rels	34.101690	-118.325510	Argyle Av & Hollywood Bl	20	3-144	26.7	8.8
80	B4	20      	rels	34.101890	-118.325160	Argyle Av & Hollywood Bl	20	3-144	28.4	9.2
81	B1	14-15-16	advc	34.104580	-118.325340	Argyle Av & Yucca St	21	3-125	97.9	81.0
82	B2	4-5     	advc	34.102640	-118.325160	Argyle Av & Yucca St	21	3-125	118.4	105.2
83	B3	6-7     	rels	34.103490	-118.325290	Argyle Av & Yucca St	21	3-125	24.4	10.5
84	B4	17-18   	rels	34.103930	-118.325170	Argyle Av & Yucca St	21	3-125	25.7	9.3
85	B1	1-2-3   	advc	34.105280	-118.323970	"Argyle Av Dix Av Franklin Av & Hollywood Fwy"	22	3-108	117.2	101.7
86	B2	7-8-9   	advc	34.104140	-118.325180	"Argyle Av Dix Av Franklin Av & Hollywood Fwy"	22	3-108	120.7	104.8
87	B3	10-11-12	rels	34.104970	-118.325320	"Argyle Av Dix Av Franklin Av & Hollywood Fwy"	22	3-108	29.2	10.3
88	B4	4-5-6   	rels	34.105190	-118.324950	"Argyle Av Dix Av Franklin Av & Hollywood Fwy"	22	3-108	27.2	10.7
89	B1	1-2-3   	advc	34.105310	-118.321560	Franklin Av & Gower St	23	3-109	78.9	64.5
90	B2	11-12-13	advc	34.105200	-118.323680	Franklin Av & Gower St	23	3-109	116.6	100.6
91	B3	14-15-16	rels	34.105300	-118.322710	Franklin Av & Gower St	23	3-109	27.9	10.1
92	B4	4-5     	rels	34.105200	-118.322140	Franklin Av & Gower St	23	3-109	25.7	10.2
93	B1	1-2-3   	advc	34.105300	-118.320030	Beachwood Dr & Franklin Av	24	3-110	115.7	104.1
94	B2	9-10-11 	advc	34.105200	-118.322140	Beachwood Dr & Franklin Av	24	3-110	78.8	67.6
95	B3	13-14   	rels	34.105310	-118.321560	Beachwood Dr & Franklin Av	24	3-110	25.8	12.5
96	B4	4-5-6   	rels	34.105210	-118.321040	Beachwood Dr & Franklin Av	24	3-110	23.3	11.8
97	B1	1-2-3   	advc	34.105320	-118.316770	Bronson Av & Franklin Av	25	3-111	115.0	102.7
98	B2	13-14-15	advc	34.105220	-118.319250	Bronson Av & Franklin Av	25	3-111	113.5	100.4
99	B3	16-17   	rels	34.105310	-118.318270	Bronson Av & Franklin Av	25	3-111	24.1	9.2
100	B4	5-6-7   	rels	34.105210	-118.317770	Bronson Av & Franklin Av	25	3-111	23.2	9.9
101	B1	1-2-3   	advc	34.105430	-118.312440	Franklin Av & Wilton Pl	26	3-112	113.4	102.4
102	B2	10-11-12	advc	34.105240	-118.314910	Franklin Av & Wilton Pl	26	3-112	114.9	101.3
103	B3	14-15-16	rels	34.105390	-118.313910	Franklin Av & Wilton Pl	26	3-112	22.5	9.2
104	B4	4-5-6   	rels	34.105310	-118.313420	Franklin Av & Wilton Pl	26	3-112	23.5	11.1
105	B1	1-2-3   	advc	34.105430	-118.309590	Franklin Av & Garfield Pl	27	3-214	106.8	99.7
106	B2	9-10-11 	advc	34.105340	-118.312010	Franklin Av & Garfield Pl	27	3-214	116.1	101.7
107	B3	13-14-15	rels	34.105430	-118.311010	Franklin Av & Garfield Pl	27	3-214	24.4	9.8
108	B4	4-5     	rels	34.105330	-118.310440	Franklin Av & Garfield Pl	27	3-214	29.2	20.4
109	B1	1-2-3   	advc	34.105410	-118.307990	Franklin Av & Western Av	28	3-113	119.5	104.6
110	B2	12-13-14	advc	34.105330	-118.310440	Franklin Av & Western Av	28	3-113	106.1	87.7
111	B3	15-16   	rels	34.105430	-118.309590	Franklin Av & Western Av	28	3-113	28.3	8.9
112	B4	4-5-6   	rels	34.105330	-118.309000	Franklin Av & Western Av	28	3-113	27.1	11.2
113	B1	1-2     	advc	34.105410	-118.299340	Franklin Av & Normandie Av	29	8-021	114.6	103.6
114	B2	6-7-8   	advc	34.105370	-118.301830	Franklin Av & Normandie Av	29	8-021	114.5	101.8
115	B3	9       	rels	34.105420	-118.300820	Franklin Av & Normandie Av	29	8-021	21.8	9.5
116	B4	3       	rels	34.105350	-118.300320	Franklin Av & Normandie Av	29	8-021	24.9	12.3
117	B1	1       	advc	34.105420	-118.294910	Edgemont St & Franklin Av	30	8-022	117.9	106.1
118	B2	5       	advc	34.105380	-118.297480	Edgemont St & Franklin Av	30	8-022	118.6	106.5
119	B3	6       	rels	34.105430	-118.296430	Edgemont St & Franklin Av	30	8-022	22.2	9.5
120	B4	2       	rels	34.105380	-118.295940	Edgemont St & Franklin Av	30	8-022	23.2	10.8
153	B1	1-2-3   	advc	34.090920	-118.294850	Edgemont St & Santa Monica Bl	39	8-065	115.7	102.8
154	B2	15      	advc	34.091910	-118.296150	Edgemont St & Santa Monica Bl	39	8-065	117.9	101.6
155	B3	16      	rels	34.091090	-118.296070	Edgemont St & Santa Monica Bl	39	8-065	26.9	10.4
156	B4	4-5     	rels	34.090800	-118.295820	Edgemont St & Santa Monica Bl	39	8-065	26.8	10.4
157	B1	4       	advc	34.094350	-118.296090	Edgemont St & Fountain Av	40	8-052	115.8	105.4
158	B2	6       	advc	34.095320	-118.297370	Edgemont St & Fountain Av	40	8-052	113.7	101.2
159	B3	7       	rels	34.095400	-118.296380	Edgemont St & Fountain Av	40	8-052	22.4	10.0
160	B4	5       	rels	34.095180	-118.296160	Edgemont St & Fountain Av	40	8-052	23.6	11.9
161	B1	1       	advc	34.095360	-118.297110	Alexandria Av & Fountain Av	41	8-105	117.6	105.0
162	B2	5       	advc	34.095240	-118.299680	Alexandria Av & Fountain Av	41	8-105	119.3	107.5
163	B3	6       	rels	34.095310	-118.298630	Alexandria Av & Fountain Av	41	8-105	22.4	11.9
164	B4	2       	rels	34.095290	-118.298130	Alexandria Av & Fountain Av	41	8-105	23.6	12.4
165	B1	1-2     	advc	34.095290	-118.299270	Fountain Av & Normandie Av	42	8-051	115.3	102.2
166	B2	6-7     	advc	34.095160	-118.301760	Fountain Av & Normandie Av	42	8-051	114.3	100.6
167	B3	8       	rels	34.095240	-118.300770	Fountain Av & Normandie Av	42	8-051	23.0	9.5
168	B4	3       	rels	34.095210	-118.300250	Fountain Av & Normandie Av	42	8-051	25.0	12.5
169	B1	1       	advc	34.095110	-118.304320	Fountain Av & Hobart Bl	43	3-215	120.2	107.5
170	B2	3       	advc	34.094970	-118.306580	Fountain Av & Hobart Bl	43	3-215	88.3	73.3
171	B3	4       	rels	34.095060	-118.305910	Fountain Av & Hobart Bl	43	3-215	26.4	11.1
172	B4	2       	rels	34.095020	-118.305310	Fountain Av & Hobart Bl	43	3-215	29.0	16.2
173	B1	1       	advc	34.095060	-118.305910	Fountain Av & Serrano Av	44	3-228	95.1	75.8
174	B2	5       	advc	34.094910	-118.308270	Fountain Av & Serrano Av	44	3-228	122.7	103.7
175	B3	6       	rels	34.095000	-118.307270	Fountain Av & Serrano Av	44	3-228	30.4	11.1
176	B4	2       	rels	34.094970	-118.306580	Fountain Av & Serrano Av	44	3-228	33.1	13.1
177	B1	3       	advc	34.094970	-118.307950	Fountain Av & Western Av	45	3-194	119.9	103.0
178	B2	14-15-16	advc	34.095930	-118.309280	Fountain Av & Western Av	45	3-194	116.5	100.7
179	B3	17-18   	rels	34.095110	-118.309170	Fountain Av & Western Av	45	3-194	26.4	9.4
180	B4	3       	rels	34.094880	-118.308950	Fountain Av & Western Av	45	3-194	27.5	10.6
181	B1	1-2-3   	advc	34.095830	-118.309190	De Longpre Av & Western Av	46	3-092	115.7	103.0
182	B2	9-10-11 	advc	34.097840	-118.309340	De Longpre Av & Western Av	46	3-092	108.1	95.3
183	B3	12-13   	rels	34.097060	-118.309190	De Longpre Av & Western Av	46	3-092	21.3	8.8
184	B4	4-5     	rels	34.096650	-118.309290	De Longpre Av & Western Av	46	3-092	25.1	11.0
185	B1	9-10-11 	advc	34.097060	-118.309190	Sunset Bl & Western Av	47	3-182	116.6	95.2
