Intersection ID,Old ID,Intersection Name,MAP Payload,"Size
(Bytes)",Date,Creator,Ready for Deployment,Notes
4001,1001,Medical Foundation Dr,0012836d3801302032000c1f42054bf5bdd3227944c90f740280051870e9e0b3bb024c0002000015d5345c0cd2e8008494f158a40006082c4e000383c6025080000080000531e67d016803226f3b460210800000800005396ef5833e3a00c89bcbd180742000002000014fedd4214140a30ed016483e658405028c3840690840e100000a8fdf950e0a0518741efb285afc5428281461d0516031a000000c0006ac67f1c02d001f0ee81c395d039d29407084a02588a0002042c1c800101d6208000810580a680000020001ab4af7d41a4cd003816bd07025390e1ca141c372dc1624800080c782f10c0930000800005591fff83499a000cd94c16290001c223008440000040001ab996ee838281445eda6808e3f5a080a05117a71a598080a05117a3f8b9820281445e9c2133c20281445e3020c400000400002a1ac5a438281461cd2e80be9e056020281461c301ec42000040001a9d5813028281461da0235422020281461c9c1488420281461c8f3ca3080a0518727152e3080a051870c093100000100000aa6434802d007d4e08e0c08b100000100000a9702670e0a051873e3a02fa8411d080a0518716062a00000100000a3c18c702d00a9cf96eda0b11800010c2c0b54000002000012252d28505028c3b406a7485bc18405028c38162500002165814a8000002800024cfe7b02d0065bada40ac11000142960e2000a12581ca8200004000128571a1438281445f0f680d5e87a4a8080a05117a8e1716420281445ea335c78080a0511782c3e0000838b0355000000800005163bf203499a015397add7c1621000021a58062800000522002b9e1f741a0fd00b665a8f184b042000604583c0003018c1011014b00850000008000056d0360816805b32f47c30584400030116008a00000100000acee5da0a0a05187680db20347b1080a0518702c260001804f066a981260001000009fbe6500b4001be730ac4e000304d62b0001828783132c09300008000052ff0058341fa00120428162b000182400260091060000575a4b90343da00498828041600498000002baa68b819a5d0010929e2b148000c10589c000707800a002441800015d4f46e05a00922b714105c0126000000ab23fff0693340019b2982c520003844106401260000009fbe6500b4001be730ac4e000304d62b0001828002a00910600004eb00e005a008d44e98005401220c00009d601c00b4011a89d300,881,4/28/2026,JB,YES,updated intersection ID and numbering order - JB
4002,1002,Embarcadero Rd,001284ca3800302032000c1f44014bf564cb2279aa1c0f6a028005187180c0a4901000100004b27639cc20281445e862cbb080a05117a16c42820281445e941c6d820281445e301cc40000040000095d740464c6e3d8c06b100000100000a6b1de0047c464bde4a0c063101000100000a7bceb8080a051872c973c91080a051871e137fb024c4002000017a4779a823c40678bf158fc00080bac860003860f0abfd812620010000033933d2011554a2b228000c1d592400050f1609c201000041006b2683eb013120be2d2c0657be02fba5815eca00628410225812a800000280000f1052bd66f31403013ec6b1c400070958ea000384ac790001c2560e2000e4a5814a800000400000bdf2f01b4dc91aa404f602c5a0001028b02d5000000a4400575865b8241eda7368d94027b0562b0000816b0c200040c2c127402000200001408b2a80907b541e2d1100a0a058e40001081608ba000001000002181a336a8315a37814140b1d800020f2c1074000002000004559602d5037b49602828163d000041c581ee8000002800008f1af7582d979fa050512c21000143560e8000a1ab0c100051718084200000200000797f8d0b36f89ed809f6180742000002000017a9583682240cd91e79e027d8b06b1008000208035a914d4609a004c2b220950546110480c42827b0031b20816181bd20200020000d6d083650405028c391c93cc10140a30e4736d48405028c393849930405028c393ad4fc0405028c38605688080008000059fe9ae4086f30f6459400a0a1816a20000020000141d88d20907b0f2058940a0a1806320000020000d7f6555084050288bd31ab4904050288bd152fc410140a22f4d04c3a10140a22f4d6ac2610140a22f2c0214000002000005c268045b2cc483a0587400030196018a000001000002f894842d93ca45902c360001810b0105008000800005e3e59dc090796c7e9255816190000c0a58022800000280002b20cdd820281461cd9ef25e14080a0518712c55000040562c8000202b1c10001022c19b40200020000147382d008e1b536c987240a0a0583c00040a960c5a0000010000022d02536a6c430f3814140b0880008142c17b40000014000043bc6c4d4dcf61f302828d6188000624b0d400031258720001892c544000c4c607b880000080000153a94b93ba407546077880000080000548e8fe823e24ef50186181ce2020002000014f36268087e93c220658b0149000000208015fce12740972820936c10f15e030620806002100488200000f476f40112374102148024c40000053ddee41d0e95c56430001c36b228000c1c001f004882000029700430120f1f04e9d0085c0093000000129683f82c687c064b010460850009310000026322ca281198440641010340040009100000026150caa04ad542042700498000000fbe8a9b027d4b80c820206410980126200000bd23bcd411e2033c5f8ac7e000405d6430001c300044009104000014f0fb10cadc880042d0049880000096d44300954182b1f80010215924000511001200244100000672e79f0b674780008c0122000000318839f03d4e8b02160024c400000620473e030c8140647010400854009310000019c99e9008aaa51591400060eac92000287810ac0126000000336abfe80ceb4603238081f002500488000000d7e05640d29e20085e00931000001aea48d8092aef0192c04120,1230,4/22/2026,CN,YES,Updates completed - JB
4003,1003,Churchill Ave,0012843e3800302032000c1f46014bf4a96f227a7e4a0f60028005187141e0cccb024c40020200179469cc013ec0b1a95018ac04098c112901080002000015165e940d4c3ecd4e4cb8fa0282860294808000800005401f4f822d054e26b90a180b52000002000014df1b7208f8953836e444603148000008000012ede5c1537c2e47460254800000800035c88306414140a30e7d9027c8214140a30e829030d4010140a30e41456a8405028c3904869610140a30e182152001000040001ae3e18ef0a0a051873ec832e230a0a0518741482d2a0080a0518720b4adc20281461c828b5d080a051871603a200000080000ac9de5006879f66d26fd74b813ec4b13400040658920002032c450001018b0211000000200025cee701c0d633ec0c8e4d06235281fb80c161240008125840880020000200035cdcf1a80ca4bec0d0259068d4a0328b91b43ad554404fb02c848001044f072ed8126200101000b94ce55c09f603c36900c5e02054607cc8004000100000ae60c850e0a05117b4afb368f0ab79828281445f050c031900000100000ada8d2b064e9f66d1e256f7813ec783754c09310008080015d0f1221c1b7409f6118b4040b2c5e02018686091c800400010000027500996d59f2841013ec3022e404000400000a02851db574aa14604fb0c093900000100000a90a22f047c5b57a4a12c04fb0c09b9000001000002a013206d5c4280c013ec5808280000010000abd96078125b569e92c013ec2b9e3ea0583100030216008a00000100000ac90582080a0518736d0591c8428281461cfb02c320001804b00850000008000016cd339b6d0f11c3409f60585c00030116018a01000100000ae877640483db68cc8dac04fb02c2a000180cb07850004000140000afc286f0e0a05187756fb3693b95e6c20281461c2b1f200060f59140003081e0c443024c4002000015f4144c04fb01963905629000182eb1680006182c05242200001100179088ee87050288be1e7d9b4682b1c614140a22f7d8060c0880a5846c800200008000050ac3ce813ecd4c92ba6102828164900004245820c80400040000287e6108120f2a65edcf482c460000838b03d900000080000116047f953576e7201625000041a581cc8000004000008f1a7aca9b5173d00b13800020c2c0d6402000140004239f7510d81d03c090e002b06400050a58508002859e0ee63024c4002020004c360b204993d058a404060c820c0024c4000015f4144c04fb01963905629000182eb168000618041a00498800002f0b3252027d80e197e031580814001600488000002ae9f86c09f60feb00e0836009310000015d0f1221c1b7409f6118b4040b2c5e0201868005c0122000000ab5df0906a61f60b35c96083800931000005ca672ae04fb01e1b48062f0102a002a00910000005e4ea72c04fb01162ac10640126200000bca34e6009f6058d4a80c560204c00500122080000af338ff0683df619ba4eb2083a0093100000130d82c81264f4162901018320,1090,4/8/2026,CN,YES,Updates completed - JB
4004,1004,Serra St & Park Blvd,001284c03800302032000c1f48014bf446e2227af0330f4c028005187159607b20000010000020eea296a6c0db9e814140b16800020f2c0e64000002000004481560d4d8db77f02828162f000041c581ac8000002800008e62ce065a2da20ac190000831614200041a5820c80000050000acef118f0483da9c316dce050500eccac562b0000420b1120002112c25640010000500002cd8d14e04879a9c516d6805050ac988000871651000043a58108800000100002b6bb63411e25ec22ada04fb02c28800102cb08d100040001400082e42cee5fb06ec804fb078ddc7261854348f1294755e446af204fb0ac9a000106964840008365844880020000400015789606823a40f06e603c55e02ca10001064601888000008000017e7590af98168e027d8608488004000100002bc7d46e030281445ecaab0cec0c28281445efb2be96f6420281445e783b76c093000080000164d71e00fd74856330001c40b1a8000c212c073400000340009797fac9023a4cfd12fcb027d87928a5f8f25d584458ba0002032c46000102562c800080cb15400040658308002128c12290008000200001536fb62091e9068aed18602d4800000800005398650823e2c1e6faca0282860294800000800005444e948243c41cb3b2f180c52000002000004b8d83ec1fa7a610282860254840010800015543efc0605028c3a2e61f018f68405028c39466f4fa10140a30e3c1fdd6049800040000090441141ce3f22b1b8000a2458c40008128c0bc90000010000029e72a81f8e02b8302b24000004000029ecc488123d1f8282de3051240020000800005365844024b63f0b856c605a48000008000054710fb823e23f160438b00c5000000800001703abf96d871144c16170000c0658042800000400000b3612d8b6c5c89980b0c80006022c0414000002000015e9acb2090796d79d13d856150000c08b0980006042c20140010000500002f1c2f6f04d3cb6a6a890a2b212000617592400030c16008a000000a0000abc73f9080a051872fca80ef080a051870ac45000040562a2000214580a2800000100000f110f34174605702c1880018146099c8004000100000b31f39a430281445ed2acc52a6f080a051178c08b90000010000033bf3358657f55e9e0e553000c000200000797b89f81e547c5631000203cb198000e1f3c1ecc60498000400000ccf906b031e9d0ac6a00030896370001446584f080020000a000a10f28dc0c3788df083941413a4c9427d9b008bc1d944492fbc23428b418eca41620199351169408a8a7dd980a0a1590c0004132ca0800209cb04e10000008000910a594390e015c9023955d88da1d104566f8810670c067fb89b8cf1f1ae50ffc6b8141422bf824112fbac82c1a0002054b04a10000005000010499bf8cb7eae7358620004092c2d00020496148001024b1110008272c14840000008000144e820208e18cab4adb058a900040b000c80244000000795e88988d033d8107401260000002c9ae3c01fae90ac6600038816350001842083800030000001e5ee27e07951f158c400080f2c66000387c107c012600000024110450738fc8ac6e0002891631000204a0036009100000019915ef02de4106001a00488000000ae8b7686300539000c00244000001794a83a0241e3226202c10780126000000333e41ac0c7a742b1a8000c2258dc0005118,1220,4/15/2026,CN,NO,Update from review results from JB on Embarcadero
4005,1005,Stanford Ave,,0,,,,
4006,1032,College Ave,,0,,,,
4007,1006,Cambridge Ave,001283503800302032000c1f4e014bf39a87227bb2f10f38029e051871116008a000000a00009d9c6b020281461cacda416080a051870ac3d00004056222000204580428000004000127c8b0f047c45a4076a2f422991e9012a40b0a80006032c03140000020000858650383c5924ac596a95a3ca9278c16130000c085808280000050000ab31e498120f1e7990f23e841d9456110000c0ab0520006062c1c14001000040000ab52a83411a51e73918a3ea49cbc163b0000c3c301284000004000029bab55011f1008deb0c042100000100000a78ce96080a051872044f9020281461c303a8400200008000014057be005bf4c6029080000080000131f6130072ebcf066a9812600010000028fffce0565208ac56000386162d0001832783132c09300008000016b0e40821e3a85629000202cb158000e172c0634000002000015759df608863654f682a009f60587c00020496039a000000400002accfd51d9f73860b08200040a180522000002000015959bf018140a22fbd15a29f8810140a22f18128200000200001523255008f8870223918138200000200000539c7cc1c2688c607e0800400010000027c80560e034a830230400000400002a16058c30281461c95a70ca3f080a0518716083a00000140000a48f0370470c859782302b058000813588900040a1e0de63024c0002000004d840020521cb158bc00050e2c520004074f06aed8126000100000226038a045f6d8ac5a000306962f0001436581ca8000005000028c2d93c120f2193baf80ac46000083d61e4000420581aa8000004000008edde40866ceabc0b12800020e2c0b540000014000024b70e0cacfc081582a0002862c204001434b03150000008000008689d2435174e60589c000107160f2a000800020000144dea8e090f10c79d994163f000043e301ec4000004000028b7c79c30281445f8928da444820281445e00280091060000537401c8245c3b2a6c6c005801220c000028e7f7e1a79ca1e083600930000001361000814872c562f0001438b14800101d0017004883000008a60d083d4465020c8024c00000051fff9c0aca41158ac00070c2c5a0003064005401220c00002d1fc7808c1e9a0830009300000016b0e40821e3a85629000202cb158000e17041a004980000008980e28117db62b168000c1a58bc00050d80,852,5/15/2026,AW,YES,Updates completed - JB
4008,1007,California Ave,0012834a3800302032000c1f50014bf3863f227bd6dd0f380280051871096008a000000a0000ac3d4e0080a0518733f512e9420281461c2b0c4000101587880008116020a00000100000aecf8870483db7b06aed204fb02c160001814b00c5000000800001700baab6f6e55d2409f60583400030216010a000001000002d376226dee1aba0013ec0b0780006032c19140010000400002be4e53430281461ce1b6f4b55eec28281461cfb02c6a000184cb06cd0004000140002a162500047c46021d52886e329c563d0000428b1c20002152c0b34000002800054374c2209078c3419981041ec50ac3e000082d6184000412581068000000800008d8a790877cd6f40b0510005062c09340000020000045fd0fc42a22ecf0588c00010396051a0000010000022687492145b77b02c420000820606888004000100000268df4909adaf8300e440000040000043d79008febfe300c4400000400002946b33c11f10957bac300a440000040000097938d4267acc1e0b443024c0002000004ee7f140ac6480589c0006079e0abbb024c0002000005ea352e07daf20589400080f1e0c553024c0002000006e513e902dd89c56290001422b1280010122c0e540000008000149520ea090790bbe0774161e400101c583aa80020000200001b570fea42fa41bb058f100040b9606aa0000008000023da12d2286a73012c150000c3160c8000618b07400030c181e620010000400002a19422830281461d4c36873da7ac28281461cfb0c07b100000100000a8f2133080a051873686dda8b828281461cfb0c083100000100000a9ed249047c5b42a4d49004fb0c08b1000001000002af73822d06c352d1e0bccb024c000200000427064a0856e61589c000607ac520002840607108004000100000a1e625e0c0a05117b2ac30f41af080a051178c062100000100004a28c1d60c0a05117be2c4c18b68080a05117a5218b6080a05117a8de456020281445e082c009300000013b9fc502b19201627000181e0024009106000053978028241e3c0d6a581060012600000037289f4816ec4e2b148000a115894000809020a8024c0000005ea352e07daf20589400080f000a0024418000042646322d1e4c10013004883000009ddbe1069de246820b8024c000000427064a0856e61589c000607ac5200028400,846,4/28/2026,SH,YES,updated intersection ID and numbering order - JB
4009,1008,Page Mill Rd,0012856a3800302032000c1f52014bf336c0227c6b740f2e0280051871916082a00000080000a18ed1b0483cabb352b680b06400050f2c0f540000014000044bdc3e55dc195a61583a0002872c30400145cb0b550004000140000b30142e012892a20cd3cf8acb88000871663000043a5828a80000010000acc9311704adc6105cf884cfe1e058a900010a1609aa00000100000b389c824120f2a1a5d3ab82c760000848b04950000008000019f766045435ba77a058f40001089608aa00000100000a0acc06047c4a86cd4eb20b1f8000210180722000002000015f73e300907b68292c55809f61806220000020000178ffb248605028c39c36d04bd8aa8505028c39f6180e4200000200000473df1054539a582180d42000002000016c56c37023e254565a591180c42000002000016d20cb0823c454575a5c4182c420010000400002dbbda470e0a051872b0fb35164a943428281461d0516041a000000a0000bb09e0cc11f16cbf25215013ec2b1f4000708583080039496049a00000080002ba7b63c0120f1d96f2be1c659cc563c8000e12b1d40007092c0a340000020001973dfcdc813ec3b0964c43d67ea0b12b5ac7571c030eb0b842166cf978b26b900162d00008165816680000050002ae56da7c06879f61d6d71582beccb715e464c92b4ac4387783d6806dd64f158ac0002062c308001034f096a981260001000003d0a537830f88d0ac82000407d6430001c40784f76c09300008000019645ece1b0e60856450001846b238000a24381c8860000020000d73de171013ec1cc6ee53e41b9014142d6163a16e7aef1c1844300080002000157405103813ec0df5c30ef263e2ca366856adb02014142f1844816fb27e1e17c43000800020001172cb0e00332afb04e0a2b01443a05159bd49a91d005051597c9776c1661000103c783710c0000040001ae548294049e8252d11045285810f5813914373eac16390001034305cc4002000080007500d9bc8230c04b4740a903cc143e6f4261482851597c122217e9123a2eec69322ff0c0ab100000100000a10f2c80c0a05187292d5f535155080a051870c0b3100000100000222c1ff2afbca8b58c18c900080002000055ace020090f13b43371cb47e4cfee303d2400000400002b8dc62811f12dfb52b018c0ec900000100000ad9607a04430b7e86ab7a303f2400000400000bb14a21b7f3aac42050516008a000000a0000afc442e080a0518733c8433d420281461c2b16400010158e880008516010a00000080000bc35b528120f2793c65c82c550000408b00c5000000800005e45dce408f8b6fc35553c0a0a0587400030196020a000001000003cd8bdc1b7e7aaae6050502c360001810b0145000000a00005e98e12e091eb6fcc155e80a0a25864000302ac18800181960e4000c0c5856280020000800005ea7a1f809beb6fd6956800a0a0596400030d960bba000000a000023e30e92b4d1af690ac390000c5562a20006265830e80000020000293e8080122e2b4cc2f708ac350000c59618800062c5834e800000400002de7e69c04878ac11ca2a80b0680008192c1974000002000016e333af0245c5606f517e0583c00040c02150024c00000074200112150bec09f605924000514001200244180001737e09a033e2fb25b6f4002828109401260000003d0a537830f88d0ac82000407d6430001c40085200930000001cec8c0204e486059240005138010002441800017a189268243c34b51108008401220c00003cfbd1ed6677b34013ec084c00930000005bbcf5e204fb0700c0e1590c000710ac8a000308810a00126000000388f18503aea340ac820004095647000144c084e009300000019645ece1b0e60856450001846b238000a24002300488300000cdded561ea3920a004400910600005bdbb5b404fb2ccca43202828,1390,4/14/2026,CN,NO,Update intersection ID and numbering order
4010,1009,Portage/Hansen Ave,,0,,,,
